CUI1,REL,CUI2
C0000016,RISK_FACTOR_FOR,C0000114
C0000155,TREATS,C0000194
C0000037,ASSOCIATED_WITH,C0000022
C0000026,CAUSES,C0000098
C0000174,RISK_FACTOR_FOR,C0000180
C0000033,ASSOCIATED_WITH,C0000091
C0000156,ASSOCIATED_WITH,C0000099
C0000092,CAUSES,C0000080
C0000164,RISK_FACTOR_FOR,C0000138
C0000154,CAUSES,C0000177
C0000092,CAUSES,C0000094
C0000139,ASSOCIATED_WITH,C0000103
C0000143,ASSOCIATED_WITH,C0000120
C0000032,TREATS,C0000138
C0000146,ASSOCIATED_WITH,C0000111
C0000183,RISK_FACTOR_FOR,C0000114
C0000043,CAUSES,C0000121
C0000015,TREATS,C0000131
C0000008,TREATS,C0000144
C0000158,RISK_FACTOR_FOR,C0000151
C0000007,TREATS,C0000034
C0000051,RISK_FACTOR_FOR,C0000118
C0000002,CAUSES,C0000113
C0000045,ASSOCIATED_WITH,C0000172
C0000149,ASSOCIATED_WITH,C0000094
C0000069,ASSOCIATED_WITH,C0000163
C0000023,TREATS,C0000118
C0000086,TREATS,C0000024
C0000143,ASSOCIATED_WITH,C0000152
C0000076,TREATS,C0000124
C0000057,RISK_FACTOR_FOR,C0000179
C0000169,CAUSES,C0000144
C0000181,ASSOCIATED_WITH,C0000173
C0000017,TREATS,C0000183
C0000076,RISK_FACTOR_FOR,C0000048
C0000141,TREATS,C0000049
C0000170,ASSOCIATED_WITH,C0000027
C0000118,ASSOCIATED_WITH,C0000185
C0000103,CAUSES,C0000151
C0000110,TREATS,C0000071
C0000053,RISK_FACTOR_FOR,C0000152
C0000130,ASSOCIATED_WITH,C0000187
C0000014,CAUSES,C0000056
C0000045,ASSOCIATED_WITH,C0000026
C0000200,CAUSES,C0000110
C0000017,ASSOCIATED_WITH,C0000078
C0000197,CAUSES,C0000093
C0000054,ASSOCIATED_WITH,C0000061
C0000076,RISK_FACTOR_FOR,C0000039
C0000109,RISK_FACTOR_FOR,C0000189
C0000115,RISK_FACTOR_FOR,C0000023
C0000054,ASSOCIATED_WITH,C0000118
C0000192,RISK_FACTOR_FOR,C0000131
C0000010,CAUSES,C0000080
C0000058,TREATS,C0000052
C0000194,ASSOCIATED_WITH,C0000040
C0000012,TREATS,C0000061
C0000087,ASSOCIATED_WITH,C0000136
C0000170,RISK_FACTOR_FOR,C0000125
C0000133,CAUSES,C0000158
C0000194,TREATS,C0000085
C0000054,TREATS,C0000111
C0000133,RISK_FACTOR_FOR,C0000025
C0000169,RISK_FACTOR_FOR,C0000072
C0000022,ASSOCIATED_WITH,C0000150
C0000005,TREATS,C0000177
C0000183,TREATS,C0000025
C0000137,ASSOCIATED_WITH,C0000044
C0000175,CAUSES,C0000135
C0000153,TREATS,C0000061
C0000150,CAUSES,C0000008
C0000135,TREATS,C0000027
C0000188,RISK_FACTOR_FOR,C0000141
C0000008,CAUSES,C0000184
C0000028,TREATS,C0000016
C0000129,RISK_FACTOR_FOR,C0000192
C0000086,CAUSES,C0000182
C0000108,CAUSES,C0000168
C0000156,RISK_FACTOR_FOR,C0000126
C0000030,TREATS,C0000145
C0000178,RISK_FACTOR_FOR,C0000145
C0000175,RISK_FACTOR_FOR,C0000006
C0000078,CAUSES,C0000157
C0000126,TREATS,C0000100
C0000082,RISK_FACTOR_FOR,C0000196
C0000021,RISK_FACTOR_FOR,C0000160
C0000121,RISK_FACTOR_FOR,C0000054
C0000171,TREATS,C0000094
C0000192,RISK_FACTOR_FOR,C0000163
C0000006,CAUSES,C0000192
C0000092,RISK_FACTOR_FOR,C0000081
C0000153,CAUSES,C0000186
C0000087,RISK_FACTOR_FOR,C0000052
C0000061,TREATS,C0000028
C0000188,RISK_FACTOR_FOR,C0000085
C0000138,TREATS,C0000126
C0000072,TREATS,C0000130
C0000171,RISK_FACTOR_FOR,C0000125
C0000032,TREATS,C0000015
C0000084,TREATS,C0000169
C0000125,ASSOCIATED_WITH,C0000112
C0000091,CAUSES,C0000200
C0000007,ASSOCIATED_WITH,C0000074
C0000115,TREATS,C0000102
C0000093,TREATS,C0000066
C0000127,TREATS,C0000162
C0000146,RISK_FACTOR_FOR,C0000047
C0000036,CAUSES,C0000043
C0000117,TREATS,C0000082
C0000093,TREATS,C0000014
C0000081,RISK_FACTOR_FOR,C0000197
C0000128,ASSOCIATED_WITH,C0000158
C0000138,RISK_FACTOR_FOR,C0000114
C0000193,ASSOCIATED_WITH,C0000162
C0000001,TREATS,C0000045
C0000058,RISK_FACTOR_FOR,C0000182
C0000017,RISK_FACTOR_FOR,C0000029
C0000078,ASSOCIATED_WITH,C0000109
C0000110,RISK_FACTOR_FOR,C0000132
C0000178,CAUSES,C0000115
C0000100,ASSOCIATED_WITH,C0000075
C0000033,ASSOCIATED_WITH,C0000032
C0000188,CAUSES,C0000068
C0000108,ASSOCIATED_WITH,C0000003
C0000060,CAUSES,C0000170
C0000011,CAUSES,C0000123
C0000019,ASSOCIATED_WITH,C0000004
C0000102,CAUSES,C0000064
C0000189,CAUSES,C0000177
C0000052,TREATS,C0000041
C0000164,ASSOCIATED_WITH,C0000036
C0000124,CAUSES,C0000122
C0000197,RISK_FACTOR_FOR,C0000006
C0000072,CAUSES,C0000094
C0000194,CAUSES,C0000031
C0000134,CAUSES,C0000189
C0000066,CAUSES,C0000094
C0000132,ASSOCIATED_WITH,C0000112
C0000081,RISK_FACTOR_FOR,C0000009
C0000028,RISK_FACTOR_FOR,C0000088
C0000049,CAUSES,C0000057
C0000195,ASSOCIATED_WITH,C0000071
C0000029,ASSOCIATED_WITH,C0000198
C0000122,TREATS,C0000015
C0000071,ASSOCIATED_WITH,C0000002
C0000187,ASSOCIATED_WITH,C0000058
C0000052,CAUSES,C0000107
C0000111,RISK_FACTOR_FOR,C0000127
C0000125,CAUSES,C0000063
C0000164,ASSOCIATED_WITH,C0000194
C0000071,TREATS,C0000004
C0000132,TREATS,C0000009
C0000145,CAUSES,C0000159
C0000042,ASSOCIATED_WITH,C0000151
C0000002,TREATS,C0000154
C0000045,ASSOCIATED_WITH,C0000099
C0000131,CAUSES,C0000044
C0000191,ASSOCIATED_WITH,C0000094
C0000085,ASSOCIATED_WITH,C0000007
C0000163,CAUSES,C0000049
C0000039,RISK_FACTOR_FOR,C0000169
C0000112,TREATS,C0000037
C0000120,TREATS,C0000110
C0000114,CAUSES,C0000159
C0000200,CAUSES,C0000164
C0000061,ASSOCIATED_WITH,C0000086
C0000070,CAUSES,C0000195
C0000026,CAUSES,C0000140
C0000024,ASSOCIATED_WITH,C0000143
C0000143,CAUSES,C0000198
C0000106,RISK_FACTOR_FOR,C0000105
C0000013,CAUSES,C0000149
C0000023,CAUSES,C0000147
C0000115,CAUSES,C0000189
C0000103,ASSOCIATED_WITH,C0000124
C0000110,RISK_FACTOR_FOR,C0000089
C0000181,RISK_FACTOR_FOR,C0000174
C0000176,RISK_FACTOR_FOR,C0000110
C0000050,CAUSES,C0000107
C0000160,ASSOCIATED_WITH,C0000017
C0000018,CAUSES,C0000194
C0000012,CAUSES,C0000041
C0000183,ASSOCIATED_WITH,C0000164
C0000184,RISK_FACTOR_FOR,C0000195
C0000022,TREATS,C0000138
C0000096,ASSOCIATED_WITH,C0000066
C0000009,CAUSES,C0000138
C0000016,CAUSES,C0000116
C0000033,ASSOCIATED_WITH,C0000152
C0000067,TREATS,C0000180
C0000090,ASSOCIATED_WITH,C0000173
C0000031,TREATS,C0000013
C0000131,RISK_FACTOR_FOR,C0000139
C0000051,CAUSES,C0000161
C0000188,TREATS,C0000063
C0000165,CAUSES,C0000112
C0000118,TREATS,C0000141
C0000123,RISK_FACTOR_FOR,C0000040
C0000065,TREATS,C0000072
C0000052,ASSOCIATED_WITH,C0000169
C0000069,ASSOCIATED_WITH,C0000135
C0000006,RISK_FACTOR_FOR,C0000189
C0000098,CAUSES,C0000018
C0000138,CAUSES,C0000188
C0000170,TREATS,C0000016
C0000157,TREATS,C0000005
C0000175,ASSOCIATED_WITH,C0000168
C0000097,RISK_FACTOR_FOR,C0000049
C0000149,CAUSES,C0000198
C0000019,CAUSES,C0000025
C0000182,CAUSES,C0000161
C0000135,RISK_FACTOR_FOR,C0000058
C0000149,ASSOCIATED_WITH,C0000158
C0000140,RISK_FACTOR_FOR,C0000132
C0000169,ASSOCIATED_WITH,C0000095
C0000081,CAUSES,C0000080
C0000081,RISK_FACTOR_FOR,C0000007
C0000122,RISK_FACTOR_FOR,C0000138
C0000039,CAUSES,C0000125
C0000044,CAUSES,C0000187
C0000048,ASSOCIATED_WITH,C0000200
C0000151,CAUSES,C0000033
C0000068,ASSOCIATED_WITH,C0000001
C0000009,RISK_FACTOR_FOR,C0000150
C0000031,TREATS,C0000086
C0000010,RISK_FACTOR_FOR,C0000143
C0000103,RISK_FACTOR_FOR,C0000075
C0000150,RISK_FACTOR_FOR,C0000140
C0000002,CAUSES,C0000042
