# ============================================================
# INSTANCE 2 — Maladies Chroniques, Cardiovasculaires & Métaboliques
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Cardiovasculaires & Symptômes ---
Weight_Gain,is_a,Symptom
Slow_Heart_Rate,is_a,Symptom
Rapid_Heart_Rate,is_a,Symptom
Thirst,is_a,Symptom
High_Blood_Sugar,is_a,Symptom

# --- Contre-indications Critiques ---
Metformin,contraindicated_with,Kidney_Failure
Warfarin,contraindicated_with,Active_Bleeding
Lisinopril,contraindicated_with,Hyperkalemia

# --- Interactions médicamenteuses ---
Warfarin,interacts_with,Amoxicillin
Digoxin,interacts_with,Amiodarone

# --- Diagnostics ---
Heart_Failure,diagnosed_by,BNP_Test
Coronary_Artery_Disease,diagnosed_by,Coronary_Angiography
Myocardial_Infarction,diagnosed_by,ECG
Atrial_Fibrillation,diagnosed_by,ECG
Stroke,diagnosed_by,CT_Scan
Diabetes_Type_2,diagnosed_by,Fasting_Glucose_Test
Hyperthyroidism,diagnosed_by,T4_Test
Gout,diagnosed_by,Joint_Fluid_Analysis

# --- Facteurs de risque ---
Hypertension,risk_factor_for,Chronic_Kidney_Disease
Diabetes_Type_2,risk_factor_for,Coronary_Artery_Disease
Obesity,risk_factor_for,Diabetes_Type_2
Dyslipidemia,risk_factor_for,Coronary_Artery_Disease
Smoking,risk_factor_for,Coronary_Artery_Disease
Atrial_Fibrillation,risk_factor_for,Heart_Failure
Gout,risk_factor_for,Coronary_Artery_Disease
Hypothyroidism,risk_factor_for,Dyslipidemia

# --- Complications ---
Hypertension,can_cause,Chronic_Kidney_Disease
Diabetes_Type_2,can_cause,Chronic_Kidney_Disease
Myocardial_Infarction,can_cause,Arrhythmia
Atrial_Fibrillation,can_cause,Heart_Failure
Stroke,can_cause,Paralysis
Obesity,can_cause,Diabetes_Type_2

# --- Organe cible ---
Hypertension,affects_organ,Blood_Vessels
Diabetes_Type_2,affects_organ,Blood_Vessels

# --- Monitoring & Suivi ---
Diabetes_Type_2,monitored_by,Fasting_Glucose_Test
Heart_Failure,monitored_by,BNP_Test
Chronic_Kidney_Disease,monitored_by,Creatinine_Test

# --- Prévention ---
Hypertension,prevented_by,Low_Sodium_Diet
Diabetes_Type_2,prevented_by,Low_Carb_Diet
Coronary_Artery_Disease,prevented_by,Smoking_Cessation
Stroke,prevented_by,Anticoagulation
Gout,prevented_by,Hydration

# --- Populations à risque ---
Hypertension,affects_population,African_Americans
Diabetes_Type_2,affects_population,Elderly
Diabetes_Type_1,affects_population,Children
Gout,affects_population,Elderly
Myocardial_Infarction,affects_population,Elderly
Hypothyroidism,affects_population,Elderly
