# ============================================================
# INSTANCE 3 — Neurologie, Psychiatrie, Gastroentérologie & Douleur
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Neurologiques & Symptômes ---
Interferon_Beta,treats,Multiple_Sclerosis
Natalizumab,treats,Multiple_Sclerosis
Ibuprofen,treats,Headache
Naproxen,treats,Headache
Betahistine,treats,Vertigo
Meclizine,treats,Vertigo
Modafinil,treats,Narcolepsy

# --- Traitements Psychiatriques ---
Sertraline,treats,Anxiety_Disorder
Fluoxetine,treats,Anxiety_Disorder
Escitalopram,treats,Anxiety_Disorder
Paroxetine,treats,Depression
Venlafaxine,treats,Anxiety_Disorder
Duloxetine,treats,Depression
Amitriptyline,treats,Depression
Mirtazapine,treats,Depression
Quetiapine,treats,Bipolar_Disorder
Risperidone,treats,Bipolar_Disorder
Olanzapine,treats,Bipolar_Disorder
Aripiprazole,treats,Bipolar_Disorder
Alprazolam,treats,Anxiety_Disorder
Buspirone,treats,Anxiety_Disorder
Melatonin,treats,Insomnia
Zolpidem,treats,Insomnia
Diphenhydramine,treats,Insomnia
Methylphenidate,treats,ADHD
Amphetamine,treats,ADHD

# --- Traitements Gastroentérologiques ---
Omeprazole,treats,GERD
Lansoprazole,treats,GERD
Famotidine,treats,GERD
Antacid,treats,GERD
Metoclopramide,treats,GERD
Ondansetron,treats,Nausea
Loperamide,treats,Diarrhea
Psyllium,treats,Constipation
Bisacodyl,treats,Constipation
Lactulose,treats,Constipation
Domperidone,treats,GERD
Sucralfate,treats,Peptic_Ulcer
Mesalazine,treats,Crohn_Disease
Infliximab,treats,Crohn_Disease
Gluten_Free_Diet,treats,Celiac_Disease
Ursodeoxycholic_Acid,treats,Liver_Cirrhosis

# --- Traitements Douleur ---
Aspirin,treats,Fever
Paracetamol,treats,Fever
Celecoxib,treats,Inflammation
Diclofenac,treats,Inflammation
Hydrocortisone,treats,Inflammation
Betamethasone,treats,Inflammation
Triamcinolone,treats,Inflammation
Lidocaine,treats,Local_Pain
Capsaicin,treats,Neuropathic_Pain

# --- Taxonomie Maladies ---
Neurological_Disorder,is_a,Maladie
Psychiatric_Disorder,is_a,Maladie
Digestive_Disorder,is_a,Maladie

# --- Taxonomie Médicaments ---
Triptan,is_a,Medicament
Anticonvulsant,is_a,Medicament
Benzodiazepine,is_a,Medicament
SSRI,is_a,Antidepressant
SNRI,is_a,Antidepressant
Antidepressant,is_a,Medicament
Antipsychotic,is_a,Medicament
PPI,is_a,Medicament
H2_Blocker,is_a,Medicament
Opioid,is_a,Medicament
NSAIDs,is_a,Medicament

# --- Taxonomie Symptômes Neuro/Psy ---
Sensitivity_to_Light,is_a,Symptom
Sensitivity_to_Sound,is_a,Symptom
Visual_Aura,is_a,Symptom
Loss_of_Consciousness,is_a,Symptom
Muscle_Stiffness,is_a,Symptom
Rigidity,is_a,Symptom
Slow_Movement,is_a,Symptom
Balance_Problems,is_a,Symptom
Stooped_Posture,is_a,Symptom
Memory_Loss,is_a,Symptom
Disorientation,is_a,Symptom
Personality_Changes,is_a,Symptom
Language_Problems,is_a,Symptom
Coordination_Problems,is_a,Symptom
Bladder_Problems,is_a,Symptom
Burning_Sensation,is_a,Symptom
Tingling,is_a,Symptom
Low_Mood,is_a,Symptom
Loss_of_Interest,is_a,Symptom
Appetite_Changes,is_a,Symptom
Concentration_Problems,is_a,Symptom
Hopelessness,is_a,Symptom
Suicidal_Thoughts,is_a,Symptom
Excessive_Worry,is_a,Symptom
Restlessness,is_a,Symptom
Panic_Attacks,is_a,Symptom
Mood_Swings,is_a,Symptom
Mania,is_a,Symptom
Hallucinations,is_a,Symptom
Delusions,is_a,Symptom
Flashbacks,is_a,Symptom
Obsessive_Thoughts,is_a,Symptom
Compulsive_Behaviors,is_a,Symptom
Inattention,is_a,Symptom
Hyperactivity,is_a,Symptom
Stomach_Pain,is_a,Symptom
Heartburn,is_a,Symptom
Bloating,is_a,Symptom
Acid_Reflux,is_a,Symptom
Regurgitation,is_a,Symptom
Bloody_Stool,is_a,Symptom
Bloody_Diarrhea,is_a,Symptom

# --- Contre-indications ---
Ibuprofen,contraindicated_with,Gastritis

# --- Interactions médicamenteuses ---
Lithium,interacts_with,Diuretics
Warfarin,interacts_with,NSAIDs

# --- Diagnostics ---
Epilepsy,diagnosed_by,EEG
Parkinson_Disease,diagnosed_by,Clinical_Assessment
Alzheimer_Disease,diagnosed_by,Cognitive_Test
Multiple_Sclerosis,diagnosed_by,Lumbar_Puncture
Crohn_Disease,diagnosed_by,Colonoscopy
Celiac_Disease,diagnosed_by,Biopsy
Pancreatitis,diagnosed_by,CT_Scan
Liver_Cirrhosis,diagnosed_by,FibroScan
Appendicitis,diagnosed_by,CT_Scan

# --- Complications ---
GERD,can_cause,Barrett_Esophagus
Insomnia,can_cause,Anxiety_Disorder
