question_id,head,relation
Q0125,Morphine,interacts_with
Q0126,Omeprazole,interacts_with
Q0127,Sertraline,interacts_with
Q0128,Tramadol,interacts_with
Q0129,Valproate,interacts_with
Q0130,Alzheimer_Disease,can_cause
Q0131,Appendicitis,can_cause
Q0132,Crohn_Disease,can_cause
Q0133,Depression,can_cause
Q0134,Epilepsy,can_cause
Q0135,GERD,can_cause
Q0136,Liver_Cirrhosis,can_cause
Q0137,Migraine,can_cause
Q0138,Pancreatitis,can_cause
Q0139,Parkinson_Disease,can_cause
Q0140,Peptic_Ulcer,can_cause
Q0141,Schizophrenia,can_cause
Q0142,Carbamazepine,contraindicated_with
Q0143,Fluoxetine,contraindicated_with
Q0144,Morphine,contraindicated_with
Q0145,Omeprazole,contraindicated_with
Q0146,Sertraline,contraindicated_with
Q0147,Tramadol,contraindicated_with
Q0148,Valproate,contraindicated_with
Q0149,Alzheimer_Disease,diagnosed_by
Q0150,Appendicitis,diagnosed_by
Q0151,Crohn_Disease,diagnosed_by
Q0152,Depression,diagnosed_by
Q0153,Epilepsy,diagnosed_by
Q0154,GERD,diagnosed_by
Q0155,Liver_Cirrhosis,diagnosed_by
Q0156,Migraine,diagnosed_by
Q0157,Pancreatitis,diagnosed_by
Q0158,Parkinson_Disease,diagnosed_by
Q0159,Peptic_Ulcer,diagnosed_by
Q0160,Schizophrenia,diagnosed_by
Q0161,Alzheimer_Disease,is_a
Q0162,Appendicitis,is_a
Q0163,Carbamazepine,is_a
Q0164,Crohn_Disease,is_a
Q0165,Depression,is_a
Q0166,Epilepsy,is_a
Q0167,Fluoxetine,is_a
Q0168,GERD,is_a
Q0169,Liver_Cirrhosis,is_a
Q0170,Migraine,is_a
Q0171,Morphine,is_a
Q0172,Omeprazole,is_a
Q0173,Pancreatitis,is_a
Q0174,Parkinson_Disease,is_a
Q0175,Peptic_Ulcer,is_a
Q0176,Schizophrenia,is_a
Q0177,Sertraline,is_a
Q0178,Tramadol,is_a
Q0179,Valproate,is_a
Q0180,Carbamazepine,treats
Q0181,Morphine,treats
Q0182,Tramadol,treats
Q0183,Paroxetine,treats
Q0184,Aspirin,treats
Q0185,Omeprazole,treats
Q0186,Valproate,treats
Q0187,Cholecystitis,causes_symptom
Q0188,Cluster_Headache,causes_symptom
Q0189,Narcolepsy,causes_symptom
Q0190,OCD,causes_symptom
Q0191,Restless_Leg_Syndrome,causes_symptom
Q0192,Tension_Headache,causes_symptom
Q0193,Vertigo,causes_symptom
Q0194,ADHD,causes_symptom
Q0195,Appendicitis,causes_symptom
Q0196,Ibuprofen,treats
Q0197,Fluoxetine,treats
Q0198,Sertraline,treats
Q0199,Neuropathic_Pain,causes_symptom
Q0200,Irritable_Bowel_Syndrome,causes_symptom
Q0201,Panic_Disorder,causes_symptom
Q0202,Bipolar_Disorder,causes_symptom
Q0203,Celiac_Disease,causes_symptom
Q0204,Insomnia,causes_symptom
Q0205,PTSD,causes_symptom
Q0206,Ulcerative_Colitis,causes_symptom
Q0207,Pancreatitis,causes_symptom
Q0208,Schizophrenia,causes_symptom
Q0209,Gastritis,causes_symptom
Q0210,Alzheimer_Disease,causes_symptom
Q0211,Crohn_Disease,causes_symptom
Q0212,Epilepsy,causes_symptom
Q0213,GERD,causes_symptom
Q0214,Liver_Cirrhosis,causes_symptom
Q0215,Peptic_Ulcer,causes_symptom
Q0216,Anxiety_Disorder,causes_symptom
Q0217,Multiple_Sclerosis,causes_symptom
Q0218,Parkinson_Disease,causes_symptom
Q0219,Depression,causes_symptom
Q0220,Migraine,causes_symptom
