# ============================================================
# INSTANCE 4 — Rhumatologie, Oncologie, Pédiatrie, Dermatologie & Pharmacologie
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Rhumatologiques & Symptômes ---
Rheumatoid_Arthritis,diagnosed_by,Anti_CCP_Test
Lupus,diagnosed_by,ANA_Test
Ankylosing_Spondylitis,diagnosed_by,HLA_B27_Test
Gout,diagnosed_by,Joint_Fluid_Analysis
Lung_Cancer,diagnosed_by,Biopsy
Breast_Cancer,diagnosed_by,Biopsy
Colorectal_Cancer,diagnosed_by,CEA_Test
Prostate_Cancer,diagnosed_by,Biopsy
Leukemia,diagnosed_by,Blood_Count
Lymphoma,diagnosed_by,Lymph_Node_Biopsy
Kidney_Stones,diagnosed_by,CT_Scan
Chronic_Kidney_Disease,diagnosed_by,Creatinine_Test

# --- Facteurs de risque ---
Lupus,risk_factor_for,Cardiovascular_Disorder
Obesity,risk_factor_for,Osteoarthritis
Smoking,risk_factor_for,Bladder_Cancer
Family_History,risk_factor_for,Breast_Cancer
HPV,risk_factor_for,Cervical_Cancer
Hepatitis_B,risk_factor_for,Liver_Cancer
Hepatitis_C,risk_factor_for,Liver_Cancer
Liver_Cirrhosis,risk_factor_for,Liver_Cancer

# --- Complications ---
Rheumatoid_Arthritis,can_cause,Cardiovascular_Disorder
Lupus,can_cause,Cardiovascular_Disorder
Gout,can_cause,Kidney_Stones
Leukemia,can_cause,Bleeding
Chronic_Kidney_Disease,can_cause,Anemia
Kidney_Stones,can_cause,Kidney_Damage

# --- Organe cible ---
Rheumatoid_Arthritis,affects_organ,Joints
Lupus,affects_organ,Joints
Leukemia,affects_organ,Blood

# --- Prévention ---
Cervical_Cancer,prevented_by,HPV_Vaccine
Melanoma,prevented_by,Sunscreen
Urinary_Tract_Infection,prevented_by,Hydration
