question_id,head,relation
Q0109,Metformin,interacts_with
Q0110,Metoprolol,interacts_with
Q0111,Spironolactone,interacts_with
Q0112,Coronary_Artery_Disease,prevented_by
Q0113,Deep_Vein_Thrombosis,prevented_by
Q0114,Obesity,prevented_by
Q0115,Dyslipidemia,prevented_by
Q0116,Stroke,prevented_by
Q0117,Gout,prevented_by
Q0118,Amlodipine,contraindicated_with
Q0119,Lisinopril,contraindicated_with
Q0120,Metformin,contraindicated_with
Q0121,Metoprolol,contraindicated_with
Q0122,Spironolactone,contraindicated_with
Q0123,Warfarin,contraindicated_with
Q0124,Deep_Vein_Thrombosis,can_cause
Q0125,Atrial_Fibrillation,can_cause
Q0126,Hyperthyroidism,can_cause
Q0127,Myocardial_Infarction,can_cause
Q0128,Obesity,can_cause
Q0129,Stroke,can_cause
Q0130,Hypothyroidism,can_cause
Q0131,Gout,can_cause
Q0132,Atrial_Fibrillation,risk_factor_for
Q0133,Dyslipidemia,risk_factor_for
Q0134,Hypothyroidism,risk_factor_for
Q0135,Gout,risk_factor_for
Q0136,Diabetes_Type_1,diagnosed_by
Q0137,Coronary_Artery_Disease,diagnosed_by
Q0138,Deep_Vein_Thrombosis,diagnosed_by
Q0139,Heart_Failure,diagnosed_by
Q0140,Atrial_Fibrillation,diagnosed_by
Q0141,Hyperthyroidism,diagnosed_by
Q0142,Myocardial_Infarction,diagnosed_by
Q0143,Obesity,diagnosed_by
Q0144,Dyslipidemia,diagnosed_by
Q0145,Stroke,diagnosed_by
Q0146,Hypothyroidism,diagnosed_by
Q0147,Diabetes_Type_2,diagnosed_by
Q0148,Gout,diagnosed_by
Q0149,Hypertension,diagnosed_by
Q0150,Amlodipine,treats
Q0151,Metformin,treats
Q0152,Spironolactone,treats
Q0153,Warfarin,treats
Q0154,Amlodipine,is_a
Q0155,Diabetes_Type_1,is_a
Q0156,Lisinopril,is_a
Q0157,Metformin,is_a
Q0158,Metoprolol,is_a
Q0159,Spironolactone,is_a
Q0160,Coronary_Artery_Disease,is_a
Q0161,Deep_Vein_Thrombosis,is_a
Q0162,Heart_Failure,is_a
Q0163,Warfarin,is_a
Q0164,Atrial_Fibrillation,is_a
Q0165,Hyperthyroidism,is_a
Q0166,Myocardial_Infarction,is_a
Q0167,Obesity,is_a
Q0168,Dyslipidemia,causes_symptom
Q0169,Dyslipidemia,is_a
Q0170,Stroke,is_a
Q0171,Hypothyroidism,is_a
Q0172,Diabetes_Type_2,is_a
Q0173,Gout,is_a
Q0174,Hypertension,is_a
Q0175,Hypertension,affects_organ
Q0176,Hypertension,affects_population
Q0177,Warfarin,interacts_with
Q0178,Diabetes_Type_2,prevented_by
Q0179,Hypertension,prevented_by
Q0180,Smoking,risk_factor_for
Q0181,Obesity,risk_factor_for
Q0182,Diabetes_Type_2,risk_factor_for
Q0183,Lisinopril,treats
Q0184,Metoprolol,treats
Q0185,Hyponatremia,causes_symptom
Q0186,Metabolic_Syndrome,causes_symptom
Q0187,Peripheral_Artery_Disease,causes_symptom
Q0188,Deep_Vein_Thrombosis,causes_symptom
Q0189,Diabetes_Type_2,can_cause
Q0190,Hypertension,can_cause
Q0191,Hypertension,risk_factor_for
Q0192,Hypoglycemia,causes_symptom
Q0193,Pulmonary_Embolism,causes_symptom
Q0194,Coronary_Artery_Disease,causes_symptom
Q0195,Obesity,causes_symptom
Q0196,Gout,causes_symptom
Q0197,Atrial_Fibrillation,causes_symptom
Q0198,Diabetes_Type_1,causes_symptom
Q0199,Hyperthyroidism,causes_symptom
Q0200,Myocardial_Infarction,causes_symptom
Q0201,Stroke,causes_symptom
Q0202,Hypothyroidism,causes_symptom
Q0203,Heart_Failure,causes_symptom
Q0204,Diabetes_Type_2,causes_symptom
Q0205,Hypertension,causes_symptom
